cls,theme,freq,agent_utterance,agent_utterance_refine
qs_nocont_high,スポーツ,1, どんなスポーツをされましたか？, どんなスポーツをされましたか？
qs_nocont_high,スポーツ,5, なにかおすすめのスポーツ観戦はありますか？, なにかおすすめのスポーツ観戦はありますか？
qs_nocont_high,スポーツ,6, スポーツをする目的は何ですか？, スポーツをする目的は何ですか？
qs_nocont_high,スポーツ,16, 健康のため、とか、リフレッシュするため、とかですか？, 健康のためとかリフレッシュするためとかですか？
qs_nocont_high,スポーツ,3, 好きなスポーツはなんですか？, 好きなスポーツはなんですか？
qs_nocont_high,音楽,4, カラオケに行くときはお友達と行きますか？, カラオケに行くときはお友達と行きますか？
qs_nocont_high,食事,9, お友達とランチに行ったりしますか？, お友達とランチに行ったりしますか？
qs_nocont_high,食事,24, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？
qs_nocont_high,食事,30, 甘いものと、からいものどちらがお好きですか？, 甘いものと辛いもののどちらがお好きですか？
qs_nocont_high,食事,10, 私の知りあいの人はおつまみが好きで、さきいかにマヨネーズと七味をつけて食べるのが好きだそうです。おつまみは食べますか？, 私の知りあいの人はおつまみが好きで、さきいかにマヨネーズと七味をつけて食べるのが好きだそうです。おつまみは食べますか？
qs_nocont_high,旅行,23, 今までいった「旅行」で特におすすめの場所はありますか？, 今までいった旅行で特におすすめの場所はありますか？
qs_nocont_high,旅行,10, 旅行はどこに行ったことがありますか？, 旅行はどこに行ったことがありますか？

qs_nocont_normal,スポーツ,20, 2020年には、オリンピックが日本で開催されるようですね。ご存じですか？, 2020年にはオリンピックが日本で開催されるようですね。ご存じですか？
qs_nocont_normal,スポーツ,4, そうですか。テレビでの観戦はなされるんですか？, テレビでの観戦はなされるんですか？
qs_nocont_normal,スポーツ,15, オリンピックは今までに見たことはありますか？, オリンピックは今までに見たことはありますか？
qs_nocont_normal,スポーツ,9, スポーツはするほうが好きですか？それとも見るほうが好きですか？, スポーツはするほうが好きですか？それとも見るほうが好きですか？
qs_nocont_normal,スポーツ,1, スポーツはよくするんですか？, スポーツはよくするんですか？
qs_nocont_normal,スポーツ,16, 日本で開催されるオリンピックを、見にいく予定はありますか？, 日本で開催されるオリンピックを、見にいく予定はありますか？
qs_nocont_normal,スポーツ,7, 最近スポーツはしましたか？, 最近スポーツはしましたか？
qs_nocont_normal,スポーツ,7, 競技はなにをご覧になりますか？, 競技は何をご覧になりますか？
qs_nocont_normal,音楽,7, おすすめの曲はありますか？, おすすめの曲はありますか？
qs_nocont_normal,音楽,3, おすすめの歌手やきょくってありますか？, おすすめの歌手や曲ってありますか？
qs_nocont_normal,音楽,8, そのほか「スローテンポ」のきょくで、ボサノバとか、カフェでかかっているような音楽をかけてリラックスするひともいると聞きましたが、リラックスするために聞く、きょくとかはありますか？, スローテンポの曲で、ボサノバとか、カフェでかかっているような音楽をかけてリラックスするひともいると聞きましたが、リラックスするために聞く曲とかはありますか？
qs_nocont_normal,音楽,9, カラオケでよくなにをうたうのですか？, カラオケでよく何を歌うのですか？
qs_nocont_normal,音楽,3, カラオケで歌ったりするのですか？, カラオケで歌ったりするのですか？
qs_nocont_normal,音楽,14, カラオケは好きですか？, カラオケは好きですか？
qs_nocont_normal,音楽,6, コンサートとかには行きますか？, コンサートとかには行きますか？
qs_nocont_normal,音楽,6, 最近音楽は聞きましたか？, 最近音楽は聞きましたか？
qs_nocont_normal,音楽,22, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？
qs_nocont_normal,食事,17, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか利用しますか？
qs_nocont_normal,食事,7, どんなところに行きますか？和食ですか洋食ですか？, どんなところに行きますか？和食ですか洋食ですか？
qs_nocont_normal,食事,23, なるほど、普段はどこでスイーツを買いますか？, 普段はどこでスイーツを買いますか？
qs_nocont_normal,旅行,15, 「温泉」などリフレッシュするためにいきますか？, 温泉などリフレッシュするためにいきますか？
qs_nocont_normal,旅行,23, さいきん旅行には行きましたか？, 最近、旅行には行きましたか？
qs_nocont_normal,旅行,4, 数年前からスペインの「バルセロナ」は人気の観光スポットですが、ご存知ですか？, 数年前からスペインのバルセロナは人気の観光スポットですが、ご存知ですか？
qs_nocont_normal,旅行,4, 旅行にはよく行かれますか？, 旅行にはよく行かれますか？
qs_nocont_normal,旅行,11, 旅行に行くときはなにか目的はありますか？, 旅行に行くときは何か目的はありますか？
qs_nocont_normal,音楽,3, がっきは何を演奏するのですか。, 楽器は何を演奏するのですか？
qs_nocont_normal,食事,2, そうですか。最近はまっている食べ物はありますか・・, 最近はまっている食べ物はありますか？

qs_cont,default,3, どういったところが好きなんですか？, どういったところが好きなんですか？
qs_cont,default,2, そのほかで、おすすめのものはありますか？あったら教えてください．, そのほかで、おすすめのものはありますか？あったら教えてください？
qs_cont,default,6, そのほかにおすすめのものはありますか？, そのほかにおすすめのものはありますか？
qs_cont,default,5, それのどういったところが好きなんですか？, それのどういったところが好きなんですか？
qs_cont,default,2, ほかには、ありますか？, ほかには、ありますか？
qs_cont,default,19, 具体的にはどういったものですか？, 具体的にはどういったものですか？
qs_cont,default,9, 具体的には何ですか？, 具体的には何ですか？
qs_cont,default,13, 具体的には教えてもらえますか？, 具体的には教えてもらえますか？
qs_cont,default,3, 具体的に教えてください？, 具体的に教えてください？
qs_cont,default,20, 具体的に教えてもらっていいですか？, 具体的に教えてもらっていいですか？
qs_cont,スポーツ,16, そのほか健康のために、気をつけていることはありますか？, そのほか健康のために、気をつけていることはありますか？
qs_cont,音楽,7, そのきょくのどういうところが好きなんですか？, その曲のどういうところが好きなんですか？
qs_cont,音楽,1, その作曲者のどういうところが好きなんですか？, その作曲者のどういうところが好きなんですか？
qs_cont,音楽,10, その歌手のどういうところが好きなんですか？, その歌手のどういうところが好きなんですか？
qs_cont,食事,12, それは「最近」食べられたんですか？, それは最近食べられたんですか？
qs_cont,食事,20, なるほど、その中でもおすすめのスイーツはありますか？, その中でもおすすめのスイーツはありますか？
qs_cont,旅行,23, その旅先で何が一番楽しかったですか？, その旅先で何が一番楽しかったですか？
qs_cont,旅行,16, ほかには何か面白いことはありましたか？, ほかには何か面白いことはありましたか？
qs_cont,スポーツ,3, そうですか。そのスポーツはテレビで鑑賞はされますか・・, そのスポーツはテレビで鑑賞はされますか？
qs_cont,スポーツ,2, そのスポーツのおすすめポイントを教えてください＾＾, そのスポーツのおすすめポイントを教えてください？
qs_cont,食事,8, どこで食べられたんですか・・, どこで食べられたんですか？
qs_cont,食事,1, 具体的にどういう味か教えてください。, 具体的にどういう味か教えてください？
qs_cont,旅行,5, その旅先で何かハプニングはありましたか!, その旅先で何かハプニングはありましたか？
qs_cont,旅行,22, その旅先で美味しい食べ物はたべましたか・・, その旅先で美味しい食べ物はたべましたか？
qs_cont,default,31, もう少し詳しく教えていただいていいですか。, もう少し詳しく教えていただいていいですか？

re_nocont,default,1, そうなんですか．, そうなんですか。
re_nocont,default,3, そうなんですか．それでは一度独自で調べてみたいと思います．, そうなんですか。それでは一度独自で調べてみたいと思います。
re_nocont,default,1, そうなんですか．私も独自に調べてみますね．, そうなんですか。私も独自に調べてみますね。
re_nocont,default,57, そうなんですね。, そうなんですね。
re_nocont,default,1, そうなんですね，新しい知識が増えました，今度知りあいにもすすめてみたいと思います！, そうなんですね、新しい知識が増えました。今度知りあいにもすすめてみたいと思います！
re_nocont,default,1, そうなんですね．新しい知識が増えました！ありがとうございます！, そうなんですね、新しい知識が増えました！ありがとうございます！
re_nocont,default,128, なるほど、そうなんですね。, なるほど、そうなんですね。
re_nocont,default,2, なるほど、そうなんですね・・, なるほど、そうなんですね。
re_nocont,default,47, なるほど。, なるほど。
re_nocont,default,3, いいですね，とても興味深いです！, いいですね、とても興味深いです！

re_neg,default,3, それは大変ですよね。, それは大変ですよね。
re_neg,default,1, 大変ですよね。, 大変ですよね。

re_knowledge,default,16, なるほど、勉強になります・・, なるほど、勉強になります。
re_knowledge,default,7, なるほど、よくご存じですね・・, なるほど、よくご存じですね。
re_knowledge,default,3, よくご存じですね。, よくご存じですね。

re_sport,スポーツ,9, いいですね。テレビ観戦も楽しそうですね！, いいですね。テレビ観戦も楽しそうですね！
re_sport,スポーツ,10, なるほど、健康的で、ステキですね・・, なるほど、健康的で素敵ですね。
re_sport,スポーツ,2, なるほど、面白そうですね，機会があればわたしも見てみたいです！, なるほど、面白そうですね。機会があれば私も見てみたいです！
re_sport,default,6, それは面白そうですね。, それは面白そうですね。
re_sport,default,2, たのしそうですね。, 楽しそうですね。
re_sport,default,7, なるほど、それは面白そうですね。, なるほど、それは面白そうですね。
re_sport,default,4, なるほど、それは面白そうですね。今度しりあいにもすすめてみたいと思います！, なるほど、それは面白そうですね。今度知り合いにもすすめてみたいと思います！
re_sport,default,5, なるほど、面白そうですね！, なるほど、面白そうですね！
re_sport,default,10, 楽しそうですね！, 楽しそうですね！
re_sport,default,2, 面白いですよね。, 面白いですよね。
re_sport,default,19, 本当ですか！, 本当ですか！
re_sport,default,9, すごいですね。, すごいですね。
re_sport,default,5, すごいですね！, すごいですね！
re_sport,default,1, すごい！, すごい！

re_music,音楽,2, すごいですね。一度聞かせていただけるとうれしいです。, すごいですね。一度聞かせていただけるとうれしいです。
re_music,音楽,2, そうなんですね。新しい知識が増えました。私も一度聞いてみたいと思います！, そうなんですね。新しい知識が増えました。私も一度聞いてみたいと思います！
re_music,音楽,10, とても楽しそうですね。, とても楽しそうですね。
re_music,音楽,4, なまで演奏をきくと、迫力があって、感動するみたいですね！, なまで演奏をきくと、迫力があって、感動するみたいですね！
re_music,音楽,3, わたしも実際に、演奏をきいてみたいものです。, わたしも実際に、演奏をきいてみたいものです。

re_food,食事,8, そうですか、とても美味しそうですね・・, そうですか、とても美味しそうですね。
re_food,食事,4, とても美味しそうですね。今度知りあいにもすすめてみようと思います・・, とても美味しそうですね。今度知りあいにもすすめてみようと思います。
re_food,食事,11, なるほど、それは美味しそうですね・・, なるほど、それは美味しそうですね。

re_trip,旅行,5, すごい！面白い体験をされましたね!, すごい！面白い体験をされましたね!
re_trip,旅行,7, なるほど、それはリラックスできますね。, なるほど、それはリラックスできますね。
re_trip,旅行,10, なるほど、それは素晴らしい経験ですね。, なるほど、それは素晴らしい経験ですね。
re_trip,旅行,20, 貴重な体験談をありがとうございました。, 貴重な体験談をありがとうございました。
re_trip,default,6, それは面白そうですね。, それは面白そうですね。
re_trip,default,2, たのしそうですね。, 楽しそうですね。
re_trip,default,7, なるほど、それは面白そうですね。, なるほど、それは面白そうですね。
re_trip,default,4, なるほど、それは面白そうですね。今度しりあいにもすすめてみたいと思います！, なるほど、それは面白そうですね。今度知り合いにもすすめてみたいと思います！
re_trip,default,5, なるほど、面白そうですね！, なるほど、面白そうですね！
re_trip,default,10, 楽しそうですね！, 楽しそうですね！
re_trip,default,2, 面白いですよね。, 面白いですよね。
re_trip,default,19, 本当ですか！, 本当ですか！
re_trip,default,9, すごいですね。, すごいですね。
re_trip,default,5, すごいですね！, すごいですね！
re_trip,default,1, すごい！, すごい！

thank,default,58, ありがとうございました・・, ありがとうございました。
thank,default,18, ありがとうございます。, ありがとうございます。
thank,default,6, ありがとうございます。参考にさせていただきます。, ありがとうございます。参考にさせていただきます。

sync,default,4, そうですか、なかなかですね。, そうですか、なかなかですね。
sync,default,1, そうですか、残念です・・, そうですか、残念です。
sync,default,4, そうですね、わかります。, そうですね、わかります。
sync,default,5, そうですね。, そうですね。
sync,default,8, そうですね・・ぜひ参考にさせていただきます。, そうですね、ぜひ参考にさせていただきます。

io,スポーツ,19, 1964年以来56年ぶりの日本でのオリンピック開催で，たくさんの競技が行われるのでいってみたいものですね！, 1964年以来56年ぶりの日本でのオリンピック開催で、たくさんの競技が行われるので行ってみたいものですね！
io,スポーツ,4, これからの季節は暖かくなるので、散歩などは気持ちがいいですよね。, これからの季節は暖かくなるので、散歩などは気持ちがいいですよね。
io,食事,8, 私の友人はあんこ系が好きだそうです。あずきときなこは、体や肌にいいそうで、よく食べてるそうです・・, 私の友人はあんこ系が好きだそうです。あずきときなこは体や肌にいいそうで、よく食べてるそうです。
io,旅行,4, 先日、旅行にいったしりあいが、サグラダファミリア教会は「見ると感動する」と言っていました。そのほかグエル公園なども人気で、ほかには美術館もたくさんあって、「ピカソ」や「ミロ」もあるそうです・・, 先日旅行にいった知り合いが、サグラダファミリア教会は「見ると感動する」と言っていました。そのほかグエル公園なども人気で、ほかには美術館もたくさんあって、「ピカソ」や「ミロ」もあるそうです。
