speech,dialogue_act
 ,no
 *,no
 1964年以来56年ぶりの日本でのオリンピック開催で，たくさんの競技が行われるのでいってみたいものですね！,io
 2020年には、オリンピックが日本で開催されるようですね。ご存じですか？,qy
 「エスエヌエス」のともだちと実際に、会ったことはありますか・・,qy
 「エスエヌエス」を利用して、何か面白かったことはありますか・・,qy
 「エスエヌエス」を利用していてハプニングにあったことはありますか？,qy
 「映画館」か「テレビ」かどちらでよく映画をみますか？,qy
 「温泉」などリフレッシュするためにいきますか？,qy
 あとは帰ったらすぐに、手洗いうがいをするのが、やはり効果的だそうです。,io
 あまり見ないんですね。では、今までに見た中で一番好きなドラマはありますか？,qy
 あまり読まないんですね。では今までに読んだ中で一番好きな本はありますか？,qy
 ありがとうございました・・,oa
 ありがとうございます。,oa
 ありがとうございます。参考にさせていただきます。,pa
 いいですね。テレビ観戦も楽しそうですね！,pa
 いいですね，とても興味深いです！,pa
 いいですね，私も使ってみたいです！,pa
 いいですね．使ってみると面白そうですね！,pa
 いい思い出だったようです。,oa
 いつもはどんなジャンルのゲームをするんですか？,qw
 いぬがたのロボットで、とてもかわいがる人もいるようです。,io
 おすすめのアニメってありますか？,qy
 おすすめの便利なきのうとかはありますか？,qy
 おすすめの映画ってありますか？,qy
 おすすめの曲はありますか？,qy
 おすすめの歌手やきょくってありますか？,qy
 おすすめの漫画ってありますか？,qy
 おばあちゃんがよく家で出してくれていたと言っていました。,oa
 お友達とランチに行ったりしますか？,qy
 お子さんとはよく公園で遊びますか？,qy
 お子さんと遊ぶのは体力が必要で、大変ですよね。,oa
 からい食べものとはどんな食べものが好きですか？,qw
 がっきは何を演奏するのですか。,qw
 がっきを演奏するのですか？,qy
 きょうはここまでなにで来られましたか？乗り物は乗りましたか？,qy
 きょうは来ていただいてありがとうございます！,oa
 ぐちを聞いてほしいとき、とか、夢を語りたいとき、とかどんな時ですか？,qw
 ここに来るまで迷いませんでしたか・・,qy
 これからの季節は暖かくなるので、散歩などは気持ちがいいですよね。,oa
 これから本番の収録を開始します。,oa
 これで対話を終了します．ご協力ありがとうございました・・,oa
 これは「おすすめ」というものはありますか？,qy
 こんにちわ，私の声が聞こえますか？,qy
 さいきんは「エスエヌエス」をして、過ごすひともいると聞きますが、「エスエヌエス」はなにか利用しますか？,qy
 さいきんはマンガを脚本にして「ドラマ化」するものが増えていますね。２０１８年のドラマで「今日から俺は！」というドラマもそうでしたが、結構笑えて面白かったそうです。ご存知ですか？,qy
 さいきんドラマは見ましたか？,qy
 さいきん旅行には行きましたか？,qy
 すごいですね。,pa
 すごいですね。一度聞かせていただけるとうれしいです。,pa
 すごいですね！,pa
 すごい！,pa
 すごい！面白い体験をされましたね!,pa
 すみません。なにか言いかけましたか？,qy
 すみません，その質問にはお答えできかねます．,na
 するのが好きなんですね．最近はどちらでそのスポーツを楽しみましたか？,qy
 そういった番組も面白いですよね。,oa
 そうですか、とても美味しそうですね・・,pa
 そうですか、なかなかですね。,oa
 そうですか、残念です・・,na
 そうですか、貴重な体験談をありがとうございました。,oa
 そうですか、貴重な体験談をありがとうございました・・,oa
 そうですか。そのスポーツはテレビでの観戦はなされるんですか？,qy
 そうですか。そのスポーツはテレビで鑑賞はされますか・・,qy
 そうですか。テレビでの観戦はなされるんですか？,qy
 そうですか。最近はまっている食べ物はありますか・・,qy
 そうですか，いいものが見つかるといいですね．,oa
 そうですか，では一度独自で調べてみますね！,oa
 そうですね、わかります。,oa
 そうですね。,oa
 そうですね・・ぜひ参考にさせていただきます。,pa
 そうなんですか，その作品はおすすめですか？,qy
 そうなんですか，では先程おすすめされたものをみんなに伝えてみますね！,pa
 そうなんですか．,oa
 そうなんですか．それでは一度独自で調べてみたいと思います．,oa
 そうなんですか．私も独自に調べてみますね．,oa
 そうなんですね。,oa
 そうなんですね。新しい知識が増えました。私も一度聞いてみたいと思います！,pa
 そうなんですね，新しい知識が増えました，今度知りあいにもすすめてみたいと思います！,pa
 そうなんですね．新しい知識が増えました！ありがとうございます！,pa
 そとで過ごすときはスポーツをしたりしますか・・,qy
 そのきょくのどういうところが好きなんですか？,qw
 そのため，同じ素材の服を着ることで、静電気を抑えることが出来るそうですよ？,io
 そのほか「スローテンポ」のきょくで、ボサノバとか、カフェでかかっているような音楽をかけてリラックスするひともいると聞きましたが、リラックスするために聞く、きょくとかはありますか？,qy
 そのほかで、おすすめのものはありますか？あったら教えてください．,qy
 そのほかにおすすめのものはありますか？,qy
 そのほか健康のために、気をつけていることはありますか？,qy
 そのゲームのどんなところが好きなんですか？,qw
 そのスポーツのおすすめポイントを教えてください＾＾,qw
 そのドラマのどういったところが好きなんですか？,qw
 そのドラマはどんな内容なんですか？,qw
 その作曲者のどういうところが好きなんですか？,qw
 その作者のどういったところが好きなんですか？,qw
 その旅先で何かハプニングはありましたか!,qy
 その旅先で何が一番楽しかったですか？,qw
 その旅先で美味しい食べ物はたべましたか・・,qy
 その時、どんなことをしたのですか？,qw
 その本のどういったところが好きなんですか？,qw
 その歌手のどういうところが好きなんですか？,qw
 それでは「旅行」について話しましょう,op
 それでは「食べ物」について話しましょう！,op
 それではつぎの話題にうつりたいとおもいます。,op
 それでは少し「アニメ・漫画」について話しましょう！,op
 それでは少し「ゲーム」について話しましょう,op
 それでは少し「スポーツ」について話しましょう！,op
 それでは少し「ドラマ」の話をしましょう！,op
 それでは少し「学校」について話しましょう！,op
 それでは少し「映画」について話しましょう,op
 それでは少し「本」について話しましょう,op
 それでは少し「音楽」について話しましょう！,op
 それでは最後の質問です。近い将来、私のような会話用の「エーアイ」を利用するとしたら、どんな時に利用しますか？,qw
 それのどういったところが好きなんですか？,qw
 それは、たいへんでしたね!,oa
 それは、美味しそうですね。,pa
 それは「最近」食べられたんですか？,qy
 それはご活躍されたんですね・・,oa
 それはたいへんでしたね。,oa
 それはどんな「内容」なんですか？,qw
 それはどんな内容なんですか？,qw
 それはなんていう作品なんですか？,qw
 それはなんですか？,qw
 それは一体どういった内容なんですか？,qw
 それは大変ですよね。,oa
 それは楽しい時間でしたね！,pa
 それは面白い体験ですね！,pa
 それは面白そうですね。,pa
 それ以外が好きなんですか，どんなジャンルの映画が好きなんですか？,qw
 たいへんでしたね。,oa
 たくさんおしゃべりをすると、楽しくて、ストレスが発散できるようですね。,oa
 たとえば、たてものをみる、とか美術館にいく、とか、おいしいものをたべるとか・・,oa
 たのしそうですね。,pa
 ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？,qy
 では、やったことのあるゲームの中で、もう一度やりたいものはありますか？,qy
 では，おすすめのドラマは何ですか？よろしければ教えてください。,qw
 では，もう一度見たい映画はありますか？,qy
 では，今までで一番おすすめのドラマは何ですか？,qw
 では，最近どんな映画を見られたんですか？,qw
 でんしゃ、バス、もしくは歩いてきましたか・・,qw
 とても楽しそうですね。,pa
 とても美味しそうですね。今度知りあいにもすすめてみようと思います・・,pa
 とても美味しそうなので、今度知りあいにもすすめてみようと思います・・,pa
 どういったところが好きなんですか？,qw
 どこで食べられたんですか・・,qw
 どんなところに行きますか？和食ですか洋食ですか？,qw
 どんなスポーツをされましたか？,qw
 なにかおすすめのスポーツ観戦はありますか？,qy
 なまで演奏をきくと、迫力があって、感動するみたいですね！,oa
 なるほど、ありがとうございました。,oa
 なるほど、そういうふうに利用されているのですね。,oa
 なるほど、そうなんですね。,oa
 なるほど、そうなんですね・・,oa
 なるほど、その中でもおすすめのスイーツはありますか？,qy
 なるほど、それはリラックスできますね。,oa
 なるほど、それは素晴らしい経験ですね。,pa
 なるほど、それは美味しそうですね・・,pa
 なるほど、それは面白そうですね。,pa
 なるほど、それは面白そうですね。今度しりあいにもすすめてみたいと思います！,pa
 なるほど、それは面白そうですね。今度知りあいにすすめてみます。,pa
 なるほど、それは面白そうですね！私も観てみたいです！,pa
 なるほど、よくご存じですね・・,oa
 なるほど、健康的で、ステキですね・・,pa
 なるほど、勉強になります・・,oa
 なるほど、普段はどこでスイーツを買いますか？,qw
 なるほど、面白そうですね！,pa
 なるほど、面白そうですね，機会があればわたしも見てみたいです！,pa
 なるほど。,oa
 なるほど，では私もチェックしておきますね！,oa
 はい、そうです。,oa
 はじめまして・・私の名前は「メイ」です。「対話の実験」の手伝いをしています。今日はよろしくお願いします。,oa
 ほかにたいへんだったことはありますか・・,qy
 ほかにたいへんだったことはありますか？,qy
 ほかには、ありますか？,qy
 ほかには何か面白いことはありましたか？,qy
 ほかにエピソードはありますか？,qy
 また、寒いと静電気で悩むことも多くなってきますよね？,oa
 もう少し詳しく教えていただいていいですか。,qw
 もう少し詳しく教えてください。,qw
 もし風邪かなと思ったら、まず体を温めるのが効果的だそうです。,io
 よくご存じですね。,oa
 よく見るんですか！いいですね。今期おすすめのドラマはありますか,qy
 よく読むんですか。いいですね。おすすめの作者や本はありますか？,qy
 わたしも実際に、演奏をきいてみたいものです。,oa
 オリンピックは今までに見たことはありますか？,qy
 カラオケでよくなにをうたうのですか？,qw
 カラオケで歌ったりするのですか？,qy
 カラオケに行くときはお友達と行きますか？,qy
 カラオケは好きですか？,qy
 クラシックが好きなんですか。おすすめの作曲者やきょくってありますか？,qy
 グーグルホームのようなスピーカーを使って、家事を効率化させたいとは思いますか？,qy
 ゲームはよくする方なんですか？,qy
 コンサートとかには行きますか？,qy
 ショッピングで「アマゾン」などはよく利用しますか？,qy
 スポーツはするほうが好きですか？それとも見るほうが好きですか？,qw
 スポーツはよくするんですか？,qy
 スポーツをする目的は何ですか？,qw
 ドラマはよく見る方ですか？,qy
 一度ネットワークにつなぐと、あとはラクなようですよ。,oa
 一番好きなシーンなどはありますか？,qy
 人工知能を搭載した、アイボのようなロボットに興味はありますか？,qy
 人工知能を搭載した、ルンバのような家電を使ったことはありますか？,qy
 今までいった「旅行」で特におすすめの場所はありますか？,qy
 今までの体験の中で、そのほか、楽しかったことはありますか？,qy
 今日は寒いですね．風邪など体調管理には気をつけていますか？,qy
 今日は暖かいですね．今年は風邪などひきませんでしたか？,qy
 代表的なものにスプラトゥーンやカービィ、マリオのゲームなどありますが、遊んだことはありますか？,qy
 休日は家で過ごすほうが多いですか？外出することが多いですか？,qw
 何をして遊ぶことが多いですか？,qw
 使い心地はどうですか？,qw
 健康のため、とか、リフレッシュするため、とかですか？,qy
 健康番組、とかトーク番組とか見られますか？,qy
 先日、旅行にいったしりあいが、サグラダファミリア教会は「見ると感動する」と言っていました。そのほかグエル公園なども人気で、ほかには美術館もたくさんあって、「ピカソ」や「ミロ」もあるそうです・・,io
 公園は近くにありますか？それとも自転車に乗って行かないと行けないですか？,qw
 具体的にどういう味か、教えてください。,qw
 具体的にどういう味か教えてください。,qw
 具体的にどういったものを買いますか？,qw
 具体的になんのために利用していますか？,qw
 具体的にはどういったものですか？,qw
 具体的には何ですか？,qw
 具体的には教えてもらえますか？,qw
 具体的に教えてください？,qw
 具体的に教えてもらっていいですか？,qw
 大変ですよね。,oa
 大学の中でも、たてものが奥にあるので、みなさん来るのが「たいへん」でしたとよく言われます・・,oa
 好きなゲームやおすすめのゲームってありますか？,qy
 好きなスポーツはなんですか？,qw
 子供から大人まで最近はスイッチというゲーム機でゲームをするのが流行っているみたいですね。,oa
 学生時代、たいへんだった体験はありますか？,qy
 学生時代、一番楽しかった学年はありますか？,qy
 学生時代で、楽しかったエピソードを教えてください・・,qw
 実験を開始するまでしばらくお待ちください・・,oa
 家で過ごすとき、ゲームをしたり映画を見たり、本やマンガを読んだり、何をして過ごしますか？,qw
 家事はひとりでぜんぶしますか？家族は協力してくれたりしますか？,qw
 携帯ゲームかテレビゲームならどちらをしますか？,qw
 散歩とかエサの心配とかしなくていいので、居てくれるだけで、「安心する」という人もいるようです。,oa
 数年前からスペインの「バルセロナ」は人気の観光スポットですが、ご存知ですか？,qy
 旅行にはよく行かれますか？,qy
 旅行に行くときはなにか目的はありますか？,qy
 旅行はどこに行ったことがありますか？,qw
 日本で開催されるオリンピックを、見にいく予定はありますか？,qy
 映画では洋画，邦画，それ以外のどれが好きですか？,qw
 時間はどのくらいかかりましたか？,qw
 最近、お子さんの学校のピーティーエーはたいへんと聞きますが、参加されたことはありますか？,qy
 最近、学校にはいきましたか？,qy
 最近アニメや漫画をよく見ますか？,qy
 最近スポーツはしましたか？,qy
 最近ハマっているゲームはありますか？,qy
 最近映画は見ましたか？,qy
 最近本は読みましたか？,qy
 最近見た映画はありますか？,qy
 最近音楽は聞きましたか？,qy
 本はよく読む方ですか？,qy
 本を買うときは本屋さんにいきますか？それともウェブで「ダウンロード」しますか？,qw
 本当ですか！,oa
 楽しそうですね。今度知りあいにすすめてみたいと思います！,pa
 楽しそうですね！,pa
 楽器を演奏するのですか？,qy
 次に「お休みの日の過ごし方」についてお話ししましょう！,op
 洋楽が好きなんですか。おすすめの歌手やきょくってありますか？,qy
 洋画が好きなんですか，おすすめの洋画ってありますか？,qy
 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？,qw
 甘いものと、からいものどちらがお好きですか？,qw
 私の友人はあんこ系が好きだそうです。あずきときなこは、体や肌にいいそうで、よく食べてるそうです・・,io
 私の知りあいの人はおつまみが好きで、さきいかにマヨネーズと七味をつけて食べるのが好きだそうです。おつまみは食べますか？,qy
 私の知りあいは、本当は映画館でみたいそうですが、いつもテレビの放送ですませてしまうと言っていました・・,io
 私の知りあいはマリオテニスを試してみたそうです！あんがい体も動かせて楽しかったと言っていました。よろしければ、今度ためしてみてください！	,io
 私の知り合いは、子供と公園で遊ぶと、つぎの日は筋肉痛になるといっていました。,io
 私の知り合いはすぐに「かっこんとう」を飲んで、体を温めるそうです。,io
 私の知り合いは風邪対策に、紅茶にショウガとはちみつを入れて、毎日のむそうです。すると体が温まり、風邪が引きにくくなるそうです。,io
 競技はなにをご覧になりますか？,qw
 素敵な趣味ですね。,pa
 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？,qw
 自動でカーテンをあけしめしてくれたり、ルンバで掃除を済ませてくれたりするそうです。,io
 衣類による十分な防寒や、お風呂に入る、または足湯をするとか、暖かい食べ物や、飲み物を飲むと効果的だそうです。,io
 見たことのあるものの中で一番好きなものはなんですか？,qw
 見るのが好きなんですね．最近はどこで見たんですか？,qw
 試してみてください。,su
 貴重な体験をされましたね・・,oa
 貴重な体験談をありがとうございました。,oa
 貴重な体験談をありがとうございました・・,oa
 運動会や、学芸会などのイベントで面白かった体験はありますか？,qy
 邦楽が好きなんですか。おすすめの歌手やきょくってありますか？,qy
 邦画が好きなんですか，おすすめの邦画ってありますか？,qy
 静電気というのは，ウールやポリエステルなど，異なる素材の服を重ねぎすることで溜まっていくそうです！,io
 面白いですよね。,pa
 面白かったんですね！,pa
